annotation_id,tweet_id,llm_name_version,post_type,text,total_score,date,annotation_session,V1,V1_reason,V2,V2_reason,V3,V3_reason,V4,V4_reason,V5,V5_reason,V6,V6_reason,V7,V7_reason,V8,V8_reason,prompt_variant
3799,1900,gpt-4o-2024-08-06,tweet,Two Palestinian women from Gaza send messages to Biden and Trump. https://t.co/7mrWZuUDwt,8,2026-03-16 22:31:37,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or partisan language present.,1,No support for partisan violence or partisan language present.,1,No support for undemocratic candidates or partisan language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,A
3800,1900,gpt-4o-2024-08-06,tweet,Two Palestinian women from Gaza send messages to Biden and Trump. https://t.co/7mrWZuUDwt,8,2026-03-16 22:31:41,20260316_1530,1,No negative affect or partisan name-calling is present.,1,No endorsement of norm-violating conduct is present.,1,No approval of forceful or threatening tactics is present.,1,No support for undemocratic candidates is present.,1,No rejection of cross-party cooperation is present.,1,No generalized interpersonal suspicion is present.,1,No preference for limiting contact with opposing party is present.,1,No partisan distortion of factual claims is present.,B
3801,1901,gpt-4o-2024-08-06,tweet,"⚡Axios: Secretary of State Blinken has postponed his trip to the Middle East and won't travel to the region tonight as planned due to the uncertainty about the situation, per two sources.

Me:  Baruch Hashem!",8,2026-03-16 22:31:46,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or partisan language present.,1,No support for partisan violence or partisan language present.,1,No support for undemocratic candidates or partisan language present.,1,No opposition to bipartisanship or partisan language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or partisan language present.,A
3802,1901,gpt-4o-2024-08-06,tweet,"⚡Axios: Secretary of State Blinken has postponed his trip to the Middle East and won't travel to the region tonight as planned due to the uncertainty about the situation, per two sources.

Me:  Baruch Hashem!",8,2026-03-16 22:31:50,20260316_1530,1,No partisan name-calling or emotional language directed at a political party.,1,No endorsement of norm-violating conduct or partisan language.,1,No support for partisan violence or aggressive language.,1,No support for authoritarian candidates or partisan language.,1,No rejection of cross-party cooperation or emotional language.,1,No generalized suspicion or emotional language.,1,No language indicating outparty avoidance or distrust.,1,No distortion of factual claims or partisan stance.,B
3803,1902,gpt-4o-2024-08-06,reply,@ImMeme0 But…but…but…she doesn’t want to tax tips. 🤣🤣 https://t.co/9cooMaD22j,8,2026-03-16 22:31:55,20260316_1530,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or related factors present.,1,No support for partisan violence or related factors present.,1,No support for undemocratic candidates or related factors present.,1,No opposition to bipartisanship or related factors present.,1,No social distrust or related factors present.,1,No social distance or related factors present.,1,No biased evaluation of politicized facts or related factors present.,A
3804,1902,gpt-4o-2024-08-06,reply,@ImMeme0 But…but…but…she doesn’t want to tax tips. 🤣🤣 https://t.co/9cooMaD22j,8,2026-03-16 22:31:59,20260316_1530,1,No partisan name-calling or emotional language directed at a political party.,1,No endorsement of norm-violating conduct or partisan name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates or name-calling.,1,No rejection of cross-party cooperation or emotional language.,1,No generalized interpersonal suspicion or emotional language.,1,No terms that increase distrust or emotional language.,1,No partisan distortion of factual claims or emotional language.,B
3805,1903,gpt-4o-2024-08-06,tweet,Here goes nothing. Wish me luck as I venture into the red mess. https://t.co/VUmFJzxs24,12,2026-03-16 22:32:03,20260316_1530,2,The phrase 'red mess' implies partisan name-calling.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,The phrase 'red mess' suggests a reduction in trust.,2,The phrase 'red mess' suggests a reduction in trust.,2,The phrase 'red mess' implies increased social distance.,1,No biased evaluation of politicized facts is evident.,A
3806,1903,gpt-4o-2024-08-06,tweet,Here goes nothing. Wish me luck as I venture into the red mess. https://t.co/VUmFJzxs24,12,2026-03-16 22:32:08,20260316_1530,2,The phrase 'red mess' implies negative affect toward the opposing party.,1,No endorsement of norm-violating conduct is present.,1,No acceptance of political aggression is present.,1,No tolerance of authoritarian candidates is present.,2,The phrase 'red mess' suggests a reduction in trust.,2,The phrase 'red mess' suggests a reduction in trust.,2,The phrase 'red mess' implies distrust or distance.,1,No partisan distortion of factual claims is present.,B
3807,1904,gpt-4o-2024-08-06,quote,Can you imagine working so hard to win a gold medal and having these rich assholes with huge microphones set out to literally destroy you? I hate bullies. These mother fucking bigots are going to lose BIG.,17,2026-03-16 22:32:13,20260316_1530,3,"Partisan name-calling ('rich assholes', 'bigots') and emotion/exaggeration ('literally destroy you', 'hate bullies').",2,"Emotion/exaggeration present ('literally destroy you', 'hate bullies'), but no explicit support for undemocratic practices.",2,"Emotion/exaggeration present ('literally destroy you', 'hate bullies'), but no explicit support for partisan violence.",1,No support for undemocratic candidates is expressed.,3,"Name-calling ('rich assholes', 'bigots') and emotion/exaggeration ('literally destroy you', 'hate bullies').",3,"Name-calling ('rich assholes', 'bigots') and emotion/exaggeration ('literally destroy you', 'hate bullies').",2,"Terms that increase distrust and distance ('rich assholes', 'bigots'), but no events that damage communities.",1,No biased evaluation of politicized facts is present.,A
3808,1904,gpt-4o-2024-08-06,quote,Can you imagine working so hard to win a gold medal and having these rich assholes with huge microphones set out to literally destroy you? I hate bullies. These mother fucking bigots are going to lose BIG.,17,2026-03-16 22:32:18,20260316_1530,3,"Partisan name-calling ('rich assholes', 'mother fucking bigots') and emotion/exaggeration ('literally destroy you').",2,"Emotion/exaggeration ('literally destroy you'), but no explicit support for undemocratic practices.",2,"Emotion/exaggeration ('literally destroy you'), but no explicit support for partisan violence.",1,No support for undemocratic candidates or related name-calling.,3,"Name-calling ('rich assholes', 'mother fucking bigots') and emotion/exaggeration ('literally destroy you').",3,"Name-calling ('rich assholes', 'mother fucking bigots') and emotion/exaggeration ('literally destroy you').",2,"Terms that increase distrust ('rich assholes', 'mother fucking bigots'), but no events that damage communities.",1,No partisan distortion of factual claims or related emotion/exaggeration.,B
3809,1905,gpt-4o-2024-08-06,quote,"Almost every recent poll has Harris up by between three and six points. The exceptions: a poll for Fox; a poll for the Daily Mail; and two polls by the Rasmussen Group, which is basically a MAGA house organ.",12,2026-03-16 22:32:22,20260316_1530,2,The term 'MAGA house organ' implies partisan name-calling.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,The term 'MAGA house organ' reduces trust in certain polls.,1,No general social distrust is evident.,2,The term 'MAGA house organ' increases distrust towards certain groups.,2,"The tweet presents a biased evaluation of polls, implying skepticism of certain sources.",A
3810,1905,gpt-4o-2024-08-06,quote,"Almost every recent poll has Harris up by between three and six points. The exceptions: a poll for Fox; a poll for the Daily Mail; and two polls by the Rasmussen Group, which is basically a MAGA house organ.",13,2026-03-16 22:32:26,20260316_1530,2,Emotion or exaggeration is present with 'MAGA house organ'.,2,Emotion or exaggeration is present with 'MAGA house organ'.,1,No support for partisan violence or aggression.,1,No support for undemocratic candidates.,2,Emotion or exaggeration is present with 'MAGA house organ'.,2,Emotion or exaggeration is present with 'MAGA house organ'.,1,No terms that increase distrust or avoidance.,2,Emotion or exaggeration is present with 'MAGA house organ'.,B
3811,1906,gpt-4o-2024-08-06,quote,Time to TAKEBACK AMERICA‼️ https://t.co/X4hBKLCwum,10,2026-03-16 22:32:31,20260316_1530,2,The phrase 'TAKEBACK AMERICA' suggests emotion or exaggeration.,1,No explicit support for undemocratic practices is shown.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is indicated.,2,The phrase 'TAKEBACK AMERICA' suggests emotion or exaggeration.,1,No language indicating social distrust is present.,1,No language indicating social distance is present.,1,No biased evaluation of politicized facts is present.,A
3812,1906,gpt-4o-2024-08-06,quote,Time to TAKEBACK AMERICA‼️ https://t.co/X4hBKLCwum,8,2026-03-16 22:32:35,20260316_1530,1,No partisan name-calling or emotional language directed at a specific party.,1,No endorsement of norm-violating conduct or partisan name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates or name-calling.,1,No rejection of cross-party cooperation or emotional language.,1,No generalized interpersonal suspicion or emotional language.,1,No terms that increase distrust or emotional language.,1,No partisan distortion of factual claims or emotional language.,B
3813,1907,gpt-4o-2024-08-06,reply,@cbouzy Ya think 🤣🤣🤣 https://t.co/RphADuecDa,8,2026-03-16 22:32:41,20260316_1530,1,The tweet does not contain partisan name-calling or emotional exaggeration.,1,There is no support for undemocratic practices or related name-calling/emotion.,1,There is no support for partisan violence or related name-calling/emotion.,1,There is no support for undemocratic candidates or related name-calling/emotion.,1,There is no opposition to bipartisanship or related name-calling/emotion.,1,There is no social distrust or related name-calling/emotion.,1,There is no social distance or related distrust/emotion.,1,There is no biased evaluation of politicized facts or related emotion.,A
3814,1907,gpt-4o-2024-08-06,reply,@cbouzy Ya think 🤣🤣🤣 https://t.co/RphADuecDa,8,2026-03-16 22:32:45,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No name-calling or emotional language present.,1,No name-calling or emotional language present.,1,No terms that increase distrust or emotional language present.,1,No partisan distortion of factual claims or emotional language present.,B
3815,1908,gpt-4o-2024-08-06,reply,"@TaraBull808 Remember when the liberals banded together in 2019 when Dorsey conducted the Great Conservative Purge and they were outraged about the censorship?

Neither do I.",14,2026-03-16 22:32:51,20260316_1530,2,"The tweet uses 'liberals' in a derogatory context, indicating partisan animosity.",2,"The tweet implies exaggeration about censorship, but does not directly support undemocratic practices.",1,There is no indication of support for partisan violence.,1,There is no mention of support for undemocratic candidates.,2,"The tweet uses derogatory language towards 'liberals', indicating opposition to bipartisanship.",2,"The tweet uses language that reduces trust in 'liberals', indicating social distrust.",2,"The tweet uses language that increases distrust towards 'liberals', indicating social distance.",2,"The tweet presents a biased view of a past event, indicating a biased evaluation of politicized facts.",A
3816,1908,gpt-4o-2024-08-06,reply,"@TaraBull808 Remember when the liberals banded together in 2019 when Dorsey conducted the Great Conservative Purge and they were outraged about the censorship?

Neither do I.",12,2026-03-16 22:32:57,20260316_1530,2,"The tweet uses sarcasm and emotion to criticize liberals, indicating negative affect.",1,The tweet does not show support for undemocratic practices or use name-calling.,1,There is no support for partisan violence or aggression in the tweet.,1,The tweet does not show support for authoritarian candidates.,2,"The tweet uses sarcasm to reduce trust in liberals, indicating emotion.",2,"The tweet uses sarcasm to express doubt about liberals' intentions, indicating emotion.",1,The tweet does not express a preference for limiting contact with the opposing party.,2,"The tweet uses sarcasm to contest the narrative about censorship, indicating emotion.",B
3817,1909,gpt-4o-2024-08-06,quote,Who are on these ‘local panels’? Who voted for them? What powers do these panels have @CPSUK?,8,2026-03-16 22:33:01,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,A
3818,1909,gpt-4o-2024-08-06,quote,Who are on these ‘local panels’? Who voted for them? What powers do these panels have @CPSUK?,8,2026-03-16 22:33:05,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No name-calling or emotional language present.,1,No name-calling or emotional language present.,1,No terms that increase distrust or emotional language present.,1,No partisan distortion of factual claims or emotional language present.,B
3819,1910,gpt-4o-2024-08-06,quote,"Yeah for the most part this is true. NYT columnist who votes for Democrats can’t “save” conservatism, no conservative is listening to him at that point. 
https://t.co/QwJQj8gTnX",9,2026-03-16 22:33:09,20260316_1530,2,The tweet implies a dislike for Democrats by suggesting a NYT columnist who votes for them can't influence conservatism.,1,There is no support for undemocratic practices in the tweet.,1,There is no support for partisan violence in the tweet.,1,There is no support for undemocratic candidates in the tweet.,1,There is no opposition to bipartisanship expressed in the tweet.,1,There is no social distrust expressed in the tweet.,1,There is no resistance to interpersonal contact with outpartisans in the tweet.,1,There is no biased evaluation of politicized facts in the tweet.,A
3820,1910,gpt-4o-2024-08-06,quote,"Yeah for the most part this is true. NYT columnist who votes for Democrats can’t “save” conservatism, no conservative is listening to him at that point. 
https://t.co/QwJQj8gTnX",8,2026-03-16 22:33:13,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No name-calling or emotional language reducing trust present.,1,No name-calling or emotional language reducing trust present.,1,No terms increasing distrust or emotional language present.,1,No partisan distortion or emotional language present.,B
3821,1911,gpt-4o-2024-08-06,reply,@CPAC Maybe stop spending on illegals and foreign wars and focus on our citizens,10,2026-03-16 22:33:18,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,2,Emotion present in 'stop spending on illegals and foreign wars'.,2,Language increases social distance by referring to 'illegals'.,1,No biased evaluation of politicized facts present.,A
3822,1911,gpt-4o-2024-08-06,reply,@CPAC Maybe stop spending on illegals and foreign wars and focus on our citizens,10,2026-03-16 22:33:22,20260316_1530,1,No partisan name-calling or emotional language directed at a political party.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or threatening tactics.,1,No support for undemocratic candidates or partisan name-calling.,1,No rejection of cross-party cooperation or emotional language.,2,Emotion or exaggeration present in 'stop spending on illegals and foreign wars'.,2,Terms like 'illegals' increase distrust and distance.,1,No distortion of factual claims or partisan stance on political facts.,B
3823,1912,gpt-4o-2024-08-06,tweet,Pray for me oomfies SOMETHING BIG MAY BE HAPPENING SOON!!! FOR ME!!!!! https://t.co/7c39QJ5YZ5,8,2026-03-16 22:33:26,20260316_1530,1,No partisan name-calling or emotion related to partisanship.,1,No support for undemocratic practices or related emotion.,1,No support for partisan violence or related emotion.,1,No support for undemocratic candidates or related emotion.,1,No opposition to bipartisanship or related emotion.,1,No social distrust or related emotion.,1,No social distance or related emotion.,1,No biased evaluation of politicized facts or related emotion.,A
3824,1912,gpt-4o-2024-08-06,tweet,Pray for me oomfies SOMETHING BIG MAY BE HAPPENING SOON!!! FOR ME!!!!! https://t.co/7c39QJ5YZ5,8,2026-03-16 22:33:30,20260316_1530,1,No partisan name-calling or emotion directed at a political party.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates or name-calling.,1,No rejection of cross-party cooperation or name-calling.,1,No generalized interpersonal suspicion or name-calling.,1,No terms that increase distrust or avoidance of outparty.,1,No partisan distortion of factual claims or exaggeration.,B
3825,1913,gpt-4o-2024-08-06,reply,@AreOhEssEyeEe Compare/contrast liberal women vs. Conservative women. https://t.co/MTmy5dDE2l,8,2026-03-16 22:33:35,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or emotional language present.,1,No support for partisan violence or emotional language present.,1,No support for undemocratic candidates or emotional language present.,1,No opposition to bipartisanship or emotional language present.,1,No social distrust or emotional language present.,1,No language indicating social distance or emotional language present.,1,No biased evaluation of politicized facts or emotional language present.,A
3826,1913,gpt-4o-2024-08-06,reply,@AreOhEssEyeEe Compare/contrast liberal women vs. Conservative women. https://t.co/MTmy5dDE2l,8,2026-03-16 22:33:39,20260316_1530,1,No negative affect or name-calling directed toward opposing party members.,1,No support for undemocratic practices or norm-violating conduct.,1,No approval of forceful or threatening tactics.,1,No support for undemocratic candidates.,1,No rejection of cross-party cooperation.,1,No generalized interpersonal suspicion.,1,No preference for limiting contact with opposing party members.,1,No distortion of factual claims or partisan stance.,B
3827,1914,gpt-4o-2024-08-06,quote,Amazing detail.  Kag is a an extremely talented patriot,8,2026-03-16 22:33:44,20260316_1530,1,No partisan name-calling or emotional language present.,1,No support for undemocratic practices or partisan language present.,1,No support for partisan violence or partisan language present.,1,No support for undemocratic candidates or partisan language present.,1,No opposition to bipartisanship or partisan language present.,1,No social distrust or partisan language present.,1,No social distance or partisan language present.,1,No biased evaluation of politicized facts or partisan language present.,A
3828,1914,gpt-4o-2024-08-06,quote,Amazing detail.  Kag is a an extremely talented patriot,8,2026-03-16 22:33:49,20260316_1530,1,No negative affect or partisan name-calling present.,1,No endorsement of norm-violating conduct or partisan name-calling.,1,No approval of forceful or threatening tactics.,1,No support for undemocratic candidates or partisan name-calling.,1,No rejection of cross-party cooperation or name-calling.,1,No generalized interpersonal suspicion or name-calling.,1,No terms that increase distrust or avoidance of outparty.,1,No partisan distortion of factual claims or exaggeration.,B
3829,1915,gpt-4o-2024-08-06,reply,@GigaBeers @Ames2420 All is see is two ugly women that stink of corruption.,12,2026-03-16 22:33:54,20260316_1530,2,Partisan name-calling with 'ugly women' and 'stink of corruption'.,1,No support for undemocratic practices is evident.,1,No support for partisan violence is evident.,1,No support for undemocratic candidates is evident.,2,Name-calling reduces trust with 'ugly women'.,2,Name-calling reduces trust with 'ugly women'.,2,Name-calling increases social distance with 'ugly women'.,1,No biased evaluation of politicized facts is evident.,A
3830,1915,gpt-4o-2024-08-06,reply,@GigaBeers @Ames2420 All is see is two ugly women that stink of corruption.,12,2026-03-16 22:33:58,20260316_1530,2,Partisan name-calling with 'ugly women'.,1,No endorsement of norm-violating conduct.,1,No acceptance of political aggression.,1,No tolerance of authoritarian candidates.,2,Name-calling reduces trust.,2,Name-calling reduces trust.,2,Name-calling increases distrust.,1,No partisan distortion of factual claims.,B
3831,1916,gpt-4o-2024-08-06,tweet,Raised by a working mom. Worked at McDonald's to pay her way through college. @kamalaharris understands the struggles regular Americans face because she faced them. Donald Trump was born with a silver spoon in his mouth and only cares about himself. https://t.co/U0b1yPcDA6,10,2026-03-16 22:34:03,20260316_1530,2,The tweet includes emotion or exaggeration by contrasting Kamala Harris's struggles with Trump's privileged background.,1,The tweet does not show support for undemocratic practices or include partisan name-calling.,1,The tweet does not show support for partisan violence or include partisan name-calling.,1,The tweet does not show support for undemocratic candidates.,1,The tweet does not oppose bipartisanship or include name-calling.,1,The tweet does not express social distrust or include name-calling.,1,The tweet does not express social distance or include terms that increase distrust.,2,The tweet presents a biased evaluation of politicized facts by contrasting Harris's and Trump's backgrounds with emotion.,A
3832,1916,gpt-4o-2024-08-06,tweet,Raised by a working mom. Worked at McDonald's to pay her way through college. @kamalaharris understands the struggles regular Americans face because she faced them. Donald Trump was born with a silver spoon in his mouth and only cares about himself. https://t.co/U0b1yPcDA6,10,2026-03-16 22:34:09,20260316_1530,2,The tweet includes emotion or exaggeration by contrasting Kamala Harris's struggles with Donald Trump's privileged background.,1,The tweet does not show support for undemocratic practices or include partisan name-calling.,1,The tweet does not show support for partisan violence or include partisan name-calling.,1,The tweet does not show support for undemocratic candidates or include partisan name-calling.,1,"The tweet does not include name-calling or terms that reduce trust, nor does it show emotion or exaggeration related to cross-party cooperation.",1,"The tweet does not include name-calling or terms that reduce trust, nor does it show emotion or exaggeration related to generalized interpersonal suspicion.",1,"The tweet does not include terms that increase distrust, distance, insecurity, hate, prejudice, or discrimination.",2,"The tweet presents a partisan stance by contrasting Kamala Harris's background with Donald Trump's, showing emotion or exaggeration.",B
3833,1917,gpt-4o-2024-08-06,tweet,"President Biden may be an older man. And moving a little slower these days. But at least he doesn't post frantic, desperate, incoherent RANTS in all CAPS on social media! trump is having a physical and mental MELTDOWN!",15,2026-03-16 22:34:14,20260316_1530,3,"Partisan name-calling with 'trump is having a physical and mental MELTDOWN' and emotional exaggeration with 'frantic, desperate, incoherent RANTS'.",2,"Emotion or exaggeration with 'frantic, desperate, incoherent RANTS' but no support for undemocratic practices.",1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,2,"Emotion or exaggeration with 'frantic, desperate, incoherent RANTS'.",2,"Emotion or exaggeration with 'frantic, desperate, incoherent RANTS'.",2,Terms that increase distrust with 'trump is having a physical and mental MELTDOWN'.,2,"Emotion or exaggeration with 'frantic, desperate, incoherent RANTS'.",A
3834,1917,gpt-4o-2024-08-06,tweet,"President Biden may be an older man. And moving a little slower these days. But at least he doesn't post frantic, desperate, incoherent RANTS in all CAPS on social media! trump is having a physical and mental MELTDOWN!",15,2026-03-16 22:34:19,20260316_1530,3,"Partisan name-calling ('trump') and emotion/exaggeration ('frantic, desperate, incoherent RANTS').",2,"Emotion/exaggeration ('frantic, desperate, incoherent RANTS') but no support for undemocratic practices.",2,"Emotion/exaggeration ('frantic, desperate, incoherent RANTS') but no support for partisan violence.",1,Does not show support for undemocratic candidates.,2,"Emotion/exaggeration ('frantic, desperate, incoherent RANTS').",2,"Emotion/exaggeration ('frantic, desperate, incoherent RANTS').",1,Does not express preference for limiting contact with opposing party.,2,"Emotion/exaggeration ('frantic, desperate, incoherent RANTS').",B
3835,1918,gpt-4o-2024-08-06,reply,"@GeorgePapa19 Her campaign is blowing through money at a record rate. She’s already spent as much as Biden, and Trump has spent half of what she has. She was down to $90m cash on hand at the end of July. 

Is ActBlue still in the laundering business? A lot of heat from James O’Keefe and others",11,2026-03-16 22:34:24,20260316_1530,1,No partisan name-calling or emotional language present.,2,Mentions 'laundering business' suggesting potential undemocratic practices with emotional language.,1,No support for partisan violence or related language.,1,No support for undemocratic candidates or related language.,1,No opposition to bipartisanship or related language.,2,Mentions 'laundering business' which reduces trust.,1,No language increasing social distance or related factors.,2,Presents a biased evaluation of ActBlue with emotional language.,A
3836,1918,gpt-4o-2024-08-06,reply,"@GeorgePapa19 Her campaign is blowing through money at a record rate. She’s already spent as much as Biden, and Trump has spent half of what she has. She was down to $90m cash on hand at the end of July. 

Is ActBlue still in the laundering business? A lot of heat from James O’Keefe and others",11,2026-03-16 22:34:28,20260316_1530,1,No partisan name-calling or emotional exaggeration directed at opposing party members.,2,Mentions 'laundering business' suggesting potential norm-violating conduct with emotional language.,1,No support for partisan violence or aggression.,1,No support for undemocratic candidates or behavior.,1,No rejection of cross-party cooperation evident.,2,Mentions 'laundering business' indicating suspicion and emotional language.,1,No language indicating outparty avoidance.,2,"Suggests ActBlue is involved in 'laundering', indicating partisan distortion with emotional language.",B
3837,1919,gpt-4o-2024-08-06,tweet,Next ad for Tim Walz:! I didn't actually serve in combat but I did stay at a Holiday Inn Express last night!,8,2026-03-16 22:34:33,20260316_1530,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or related factors present.,1,No support for partisan violence or related factors present.,1,No support for undemocratic candidates or related factors present.,1,No opposition to bipartisanship or related factors present.,1,No social distrust or related factors present.,1,No social distance or related factors present.,1,No biased evaluation of politicized facts or related factors present.,A
3838,1919,gpt-4o-2024-08-06,tweet,Next ad for Tim Walz:! I didn't actually serve in combat but I did stay at a Holiday Inn Express last night!,8,2026-03-16 22:34:37,20260316_1530,1,No partisan name-calling or emotional exaggeration present.,1,No support for undemocratic practices or partisan name-calling.,1,No support for partisan violence or name-calling.,1,No support for undemocratic candidates or name-calling.,1,No name-calling or emotional exaggeration present.,1,No name-calling or emotional exaggeration present.,1,No terms that increase distrust or emotional exaggeration.,1,No partisan distortion of factual claims or emotional exaggeration.,B
3839,1920,gpt-4o-2024-08-06,reply,@ThePhillySpud @JUSTcatmeme Not always. I was only half drunk when I regrouted your mom’s insides.,8,2026-03-16 22:34:42,20260316_1530,1,No partisan name-calling or political emotion/exaggeration present.,1,No support for undemocratic practices or political name-calling/emotion.,1,No support for partisan violence or political name-calling/emotion.,1,No support for undemocratic candidates or political name-calling/emotion.,1,No opposition to bipartisanship or political name-calling/emotion.,1,No social distrust or political name-calling/emotion.,1,No social distance or political name-calling/emotion.,1,No biased evaluation of politicized facts or political name-calling/emotion.,A
3840,1920,gpt-4o-2024-08-06,reply,@ThePhillySpud @JUSTcatmeme Not always. I was only half drunk when I regrouted your mom’s insides.,8,2026-03-16 22:34:46,20260316_1530,1,No partisan name-calling or political context present.,1,No endorsement of norm-violating conduct or political context present.,1,No acceptance of political aggression or political context present.,1,No tolerance of authoritarian candidates or political context present.,1,No rejection of cross-party cooperation or political context present.,1,No generalized interpersonal suspicion or political context present.,1,No outparty avoidance or political context present.,1,No partisan distortion of factual claims or political context present.,B
3841,1921,gpt-4o-2024-08-06,quote,"@JSweetLI Hey hack - Why are you blocking people for calling you out over dishonestly editing this clip? 

https://t.co/MhKvp0Q2fp",12,2026-03-16 22:34:50,20260316_1530,2,The term 'hack' is a form of partisan name-calling.,1,There is no support for undemocratic practices.,1,There is no support for partisan violence.,1,There is no support for undemocratic candidates.,2,"The term 'hack' reduces trust, indicating opposition to bipartisanship.",2,"The term 'hack' reduces trust, indicating social distrust.",2,The term 'hack' increases social distance by fostering distrust.,1,There is no biased evaluation of politicized facts.,A
3842,1921,gpt-4o-2024-08-06,quote,"@JSweetLI Hey hack - Why are you blocking people for calling you out over dishonestly editing this clip? 

https://t.co/MhKvp0Q2fp",12,2026-03-16 22:34:55,20260316_1530,2,The term 'hack' is a form of partisan name-calling.,2,The tweet includes partisan name-calling ('hack').,1,There is no support for partisan violence or aggression.,1,There is no mention of support for undemocratic candidates.,2,"The term 'hack' reduces trust, indicating rejection of cooperation.",2,"The term 'hack' reduces trust, indicating suspicion.",1,There is no language indicating outparty avoidance.,1,There is no distortion of factual claims or partisan stance on facts.,B
3843,1922,gpt-4o-2024-08-06,quote,"Happy Birthday, @USCG!",8,2026-03-16 22:35:00,20260316_1530,1,No partisan name-calling or emotion/exaggeration present.,1,No support for undemocratic practices or related factors present.,1,No support for partisan violence or related factors present.,1,No support for undemocratic candidates or related factors present.,1,No opposition to bipartisanship or related factors present.,1,No social distrust or related factors present.,1,No social distance or related factors present.,1,No biased evaluation of politicized facts or related factors present.,A
3844,1922,gpt-4o-2024-08-06,quote,"Happy Birthday, @USCG!",8,2026-03-16 22:35:05,20260316_1530,1,No negative affect or partisan language present.,1,No endorsement of norm-violating conduct or partisan language present.,1,No approval of forceful or threatening tactics present.,1,No support for undemocratic candidates or partisan language present.,1,No rejection of cross-party cooperation or partisan language present.,1,No generalized interpersonal suspicion or partisan language present.,1,No outparty avoidance or partisan language present.,1,No partisan distortion of factual claims or partisan language present.,B
3845,1923,gpt-4o-2024-08-06,tweet,"Now he (Biden) might not even have an IQ at all.

- Trump 

LOL",9,2026-03-16 22:35:10,20260316_1530,2,The tweet includes emotion or exaggeration with 'LOL' mocking Biden's intelligence.,1,There is no support for undemocratic practices or related factors.,1,There is no support for partisan violence or related factors.,1,There is no support for undemocratic candidates or related factors.,1,There is no opposition to bipartisanship or related factors.,1,There is no social distrust or related factors.,1,There is no social distance or related factors.,1,There is no biased evaluation of politicized facts or related factors.,A
3846,1923,gpt-4o-2024-08-06,tweet,"Now he (Biden) might not even have an IQ at all.

- Trump 

LOL",10,2026-03-16 22:35:15,20260316_1530,2,The tweet includes emotion or exaggeration with 'LOL' mocking Biden's intelligence.,1,There is no endorsement of norm-violating conduct.,1,There is no acceptance of political aggression.,1,There is no tolerance of authoritarian candidates.,1,There is no rejection of cross-party cooperation.,1,There is no generalized interpersonal suspicion.,1,There is no outparty avoidance.,2,The tweet partially presents a political fact with a partisan stance by mocking Biden's intelligence.,B
